cell,prefill tps,decode tps,first ms,VRAM,avg W,total J,prefill J,decode J,J/tok
moe_128K_q8_pf_none,5121.1,24.55,52.80,19.19,202.5,7532.5,5848.9,1561.6,24.40
moe_256K_q8_pf_none,5354.4,24.75,52.54,20.52,235.7,6632.8,5058.0,1400.5,21.88
moe_512K_q8_pf_none,5238.9,23.68,60.51,23.12,324.0,6172.0,4680.8,1325.3,20.71
moe_128K_q8_pf_dfl4,5393.7,66.97,58.37,20.45,320.2,4450.4,3887.1,400.7,6.26
moe_256K_q8_pf_dfl4,5186.2,63.82,55.26,21.75,324.5,5666.7,5001.3,520.2,8.13
moe_512K_q8_pf_dfl4,5241.4,62.40,54.21,24.00,311.7,4649.5,4058.9,436.4,6.82
dense_32K_q8_pf_none,1364.7,18.24,108.75,21.34,212.9,8143.3,5731.8,2242.6,35.04
dense_64K_q8_pf_none,1384.5,7.94,158.82,22.64,362.5,19781.2,16026.8,3577.0,55.89
dense_32K_q8_pf_dfl16,1357.2,12.53,109.46,23.67,313.3,7277.9,4548.1,2576.2,40.25
dense_64K_q8_pf_dfl16,130.6,5.92,385.03,24.00,208.6,90021.7,87387.7,2468.0,38.56
dense_32K_tq3_pf_dfl16,633.3,8.73,194.15,23.01,345.9,11670.8,8355.8,3167.9,49.50
dense_64K_tq3_pf_dfl16,483.2,7.29,324.14,23.80,377.7,48040.5,44123.7,3740.6,58.45
