cell,prefill tps,decode tps,first ms,accept,VRAM,avg W,J/tok
00_naive_q8,2379.3,23.25,58.29,,18.96,251.3,21.37
01_tq3,1633.8,20.09,58.74,,18.06,336.6,21.05
02_q8_pflash,5049.2,23.65,53.81,,18.66,334.2,17.02
03_tq3_pflash,1627.4,19.50,58.27,,18.06,358.2,21.51
04_tq3_pf_dfl4,1898.4,31.09,90.73,2.13,19.83,348.4,13.34
05_tq3_pf_dfl8,1903.8,34.66,96.01,2.78,19.84,352.2,12.02
06_tq3_pf_dfl16,1903.1,31.10,118.49,3.20,19.84,352.4,13.35
07_tq3_pf_mtp1,1777.6,15.04,80.35,0.75,18.79,349.7,27.18
08_tq3_pf_mtp2,1783.8,23.10,114.09,0.565,18.85,355.2,17.93
09_tq3_pf_mtp4,1772.9,18.31,143.65,0.339,18.84,350.4,22.19
